IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,10/18/2013 2150,10/18/2013 2150,10/18/2013 2150,2013-001227,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : OLD MANSE,10/19/2013 0232,10/19/2013 0232,10/19/2013 0232,2013-001232,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,10/19/2013 1918,10/19/2013 1920,10/19/2013 2015,2013-001236,CLOSED.  CLEARED BY SUMMONS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,10/19/2013 1918,10/19/2013 1920,10/19/2013 2015,2013-001236,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : GOOD SAMARITAN,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,10/19/2013 1918,10/19/2013 1920,10/19/2013 2015,2013-001236,CLOSED.  CLEARED BY SUMMONS
SEX OFFENSE : RAPE,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,10/20/2013 1118,10/20/2013 0430,10/20/2013 0945,2013-001246,CLOSED
TRAFFIC LAW VIOLATION : DRIVING UNDER SUSPENSION,CITY OF OXFORD : OXFORD TRENTON  RD SR73,10/21/2013 1645,10/21/2013 1645,10/21/2013 1645,2013-001249,CLOSED.  UTT/UTC ISSUED.
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : TALLAWANDA HALL,10/24/2013 2202,10/24/2013 2202,10/24/2013 2202,2013-001261,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : TALLAWANDA HALL,10/24/2013 2202,10/24/2013 2202,10/24/2013 2202,2013-001261,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,10/25/2013 2205,10/25/2013 2205,10/25/2013 2205,2013-001277,CLOSED.  CLEARED BY SUMMONS
